journee,date_formatee,equipe,role,adversaire,score_equipe,score_adversaire,classement_avant_match,bonus
j5,18/10/2020,Stade Français Paris,Extérieur,ASM Clermont,27,41,6,
j5,17/01/2021,Racing 92,Domicile,RC Toulon,23,29,3,
j5,17/01/2021,RC Toulon,Extérieur,Racing 92,29,23,8,
j6,23/10/2020,RC Toulon,Domicile,Castres Olympique,19,6,8,
j6,23/10/2020,Castres Olympique,Extérieur,RC Toulon,6,19,7,
j6,24/10/2020,Stade Toulousain,Domicile,LOU Rugby,7,16,1,
j6,24/10/2020,LOU Rugby,Extérieur,Stade Toulousain,16,7,9,
j6,24/10/2020,ASM Clermont,Domicile,Section Paloise,50,29,5,Bo
j6,24/10/2020,Section Paloise,Extérieur,ASM Clermont,29,50,12,
j6,24/10/2020,Stade Français Paris,Domicile,Racing 92,25,27,6,Bd
j6,24/10/2020,Racing 92,Extérieur,Stade Français Paris,27,25,3,
j6,24/10/2020,SU Agen,Domicile,Aviron Bayonnais,15,26,14,
j6,24/10/2020,Aviron Bayonnais,Extérieur,SU Agen,26,15,13,
j6,25/10/2020,Montpellier Hérault Rugby,Domicile,CA Brive,30,6,10,Bo
j6,25/10/2020,CA Brive,Extérieur,Montpellier Hérault Rugby,6,30,11,
j6,25/10/2020,Stade Rochelais,Domicile,Union Bordeaux-Bègles,20,6,2,
j6,25/10/2020,Union Bordeaux-Bègles,Extérieur,Stade Rochelais,6,20,4,
j7,31/10/2020,CA Brive,Domicile,ASM Clermont,21,43,11,
j7,31/10/2020,ASM Clermont,Extérieur,CA Brive,43,21,5,Bo
j7,31/10/2020,Castres Olympique,Domicile,Racing 92,28,26,7,
j7,31/10/2020,Racing 92,Extérieur,Castres Olympique,26,28,3,Bd
j7,31/10/2020,Union Bordeaux-Bègles,Domicile,SU Agen,71,5,4,Bo
j7,31/10/2020,SU Agen,Extérieur,Union Bordeaux-Bègles,5,71,14,
j7,01/11/2020,Section Paloise,Domicile,Stade Rochelais,24,35,12,
j7,01/11/2020,Stade Rochelais,Extérieur,Section Paloise,35,24,2,
j7,01/11/2020,Stade Français Paris,Domicile,Stade Toulousain,48,14,6,Bo
j7,01/11/2020,Stade Toulousain,Extérieur,Stade Français Paris,14,48,1,
j7,21/11/2020,Aviron Bayonnais,Domicile,RC Toulon,35,29,13,
j7,21/11/2020,RC Toulon,Extérieur,Aviron Bayonnais,29,35,8,
j7,06/01/2021,LOU Rugby,Domicile,Montpellier Hérault Rugby,24,20,9,
j7,06/01/2021,Montpellier Hérault Rugby,Extérieur,LOU Rugby,20,24,10,Bd
