journee,date,domicile,classement_dom,bonus_dom,score_dom,exterieur,classement_ext,bonus_ext,score_ext,score,lien_feuille_match
j1,samedi 25 août,USA Perpignan,14e,,15,Stade Français Paris,8e,Bo,46,15 - 46,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8541-perpignan-paris
j1,samedi 25 août,ASM Clermont,2e,Bo,67,SU Agen,12e,,23,67 - 23,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8542-clermont-agen
j1,samedi 25 août,LOU Rugby,3e,,16,Stade Toulousain,1e,,16,16 - 16,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8543-lyon-toulouse
j1,samedi 25 août,Stade Rochelais,5e,,28,FC Grenoble Rugby,13e,,21,28 - 21,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8544-la-rochelle-grenoble
j1,samedi 25 août,Union Bordeaux-Bègles,10e,Bo,41,Section Paloise,11e,,19,41 - 19,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8545-bordeaux-begles-pau
j1,samedi 25 août,RC Toulon,9e,,9,Racing 92,4e,Bo,25,9 - 25,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8546-toulon-racing-92
j1,dimanche 26 août,Montpellier Hérault Rugby,6e,Bd,20,Castres Olympique,7e,,25,20 - 25,https://top14.lnr.fr/feuille-de-match/2018-2019/j1/8547-montpellier-castres
j2,samedi 01 septembre,Section Paloise,11e,,20,RC Toulon,9e,,10,20 - 10,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8548-pau-toulon
j2,samedi 01 septembre,Castres Olympique,7e,,19,LOU Rugby,3e,Bd,16,19 - 16,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8549-castres-lyon
j2,samedi 01 septembre,Montpellier Hérault Rugby,6e,,36,Stade Rochelais,5e,,14,36 - 14,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8550-montpellier-la-rochelle
j2,samedi 01 septembre,Stade Français Paris,8e,,20,Union Bordeaux-Bègles,10e,,8,20 - 8,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8551-paris-bordeaux-begles
j2,samedi 01 septembre,FC Grenoble Rugby,13e,Bd,20,Stade Toulousain,1e,,23,20 - 23,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8552-grenoble-toulouse
j2,dimanche 02 septembre,SU Agen,12e,,25,USA Perpignan,14e,Bd,23,25 - 23,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8553-agen-perpignan
j2,dimanche 02 septembre,Racing 92,4e,,17,ASM Clermont,2e,,40,17 - 40,https://top14.lnr.fr/feuille-de-match/2018-2019/j2/8554-racing-92-clermont
j3,samedi 08 septembre,Union Bordeaux-Bègles,10e,,9,Montpellier Hérault Rugby,6e,,9,9 - 9,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8555-bordeaux-begles-montpellier
j3,samedi 08 septembre,Stade Toulousain,1e,,33,Stade Rochelais,5e,,26,33 - 26,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8556-toulouse-la-rochelle
j3,samedi 08 septembre,Racing 92,4e,Bo,59,SU Agen,12e,,7,59 - 7,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8557-racing-92-agen
j3,samedi 08 septembre,USA Perpignan,14e,,16,LOU Rugby,3e,,22,16 - 22,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8558-perpignan-lyon
j3,samedi 08 septembre,ASM Clermont,2e,Bo,42,Stade Français Paris,8e,,20,42 - 20,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8559-clermont-paris
j3,dimanche 09 septembre,FC Grenoble Rugby,13e,Bd,21,Section Paloise,11e,,24,21 - 24,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8560-grenoble-pau
j3,dimanche 09 septembre,RC Toulon,9e,,28,Castres Olympique,7e,Bd,27,28 - 27,https://top14.lnr.fr/feuille-de-match/2018-2019/j3/8561-toulon-castres
j4,samedi 15 septembre,LOU Rugby,3e,Bo,55,Montpellier Hérault Rugby,6e,,13,55 - 13,https://top14.lnr.fr/feuille-de-match/2018-2019/j4/8562-lyon-montpellier
