journee,date,domicile,classement_dom,bonus_dom,score_dom,exterieur,classement_ext,bonus_ext,score_ext,score,lien_feuille_match
j1,samedi 24 août,Castres Olympique,10e,,26,Montpellier Hérault Rugby,8e,Bd,25,26 - 25,https://top14.lnr.fr/feuille-de-match/2019-2020/j1/8976-castres-montpellier
j1,samedi 24 août,LOU Rugby,2e,Bo,43,Stade Français Paris,14e,,9,43 - 9,https://top14.lnr.fr/feuille-de-match/2019-2020/j1/8977-lyon-paris
j1,samedi 24 août,Racing 92,3e,,17,Aviron Bayonnais,9e,,24,17 - 24,https://top14.lnr.fr/feuille-de-match/2019-2020/j1/8978-racing-92-bayonne
j1,samedi 24 août,Section Paloise,12e,,33,CA Brive,11e,,14,33 - 14,https://top14.lnr.fr/feuille-de-match/2019-2020/j1/8979-pau-brive
j1,samedi 24 août,SU Agen,13e,,25,RC Toulon,4e,Bo,44,25 - 44,https://top14.lnr.fr/feuille-de-match/2019-2020/j1/8980-agen-toulon
j1,samedi 24 août,Union Bordeaux-Bègles,1e,,30,Stade Toulousain,7e,Bd,25,30 - 25,https://top14.lnr.fr/feuille-de-match/2019-2020/j1/8981-bordeaux-begles-toulouse
j1,dimanche 25 août,ASM Clermont,6e,,28,Stade Rochelais,5e,,10,28 - 10,https://top14.lnr.fr/feuille-de-match/2019-2020/j1/8982-clermont-la-rochelle
j2,samedi 31 août,Aviron Bayonnais,9e,Bd,30,ASM Clermont,6e,,34,30 - 34,https://top14.lnr.fr/feuille-de-match/2019-2020/j2/8983-bayonne-clermont
j2,samedi 31 août,Montpellier Hérault Rugby,8e,Bo,43,Section Paloise,12e,,22,43 - 22,https://top14.lnr.fr/feuille-de-match/2019-2020/j2/8984-montpellier-pau
j2,samedi 31 août,Stade Rochelais,5e,,28,Stade Français Paris,14e,Bd,26,28 - 26,https://top14.lnr.fr/feuille-de-match/2019-2020/j2/8985-la-rochelle-paris
j2,samedi 31 août,SU Agen,13e,,16,CA Brive,11e,,10,16 - 10,https://top14.lnr.fr/feuille-de-match/2019-2020/j2/8986-agen-brive
j2,samedi 31 août,Union Bordeaux-Bègles,1e,Bo,34,RC Toulon,4e,,12,34 - 12,https://top14.lnr.fr/feuille-de-match/2019-2020/j2/8987-bordeaux-begles-toulon
j2,dimanche 01 septembre,Racing 92,3e,,23,Castres Olympique,10e,,14,23 - 14,https://top14.lnr.fr/feuille-de-match/2019-2020/j2/8988-racing-92-castres
j2,dimanche 01 septembre,LOU Rugby,2e,,22,Stade Toulousain,7e,,12,22 - 12,https://top14.lnr.fr/feuille-de-match/2019-2020/j2/8989-lyon-toulouse
j3,samedi 07 septembre,Castres Olympique,10e,Bd,32,Union Bordeaux-Bègles,1e,,34,32 - 34,https://top14.lnr.fr/feuille-de-match/2019-2020/j3/8990-castres-bordeaux-begles
j3,samedi 07 septembre,RC Toulon,4e,,6,LOU Rugby,2e,,20,6 - 20,https://top14.lnr.fr/feuille-de-match/2019-2020/j3/8991-toulon-lyon
j3,samedi 07 septembre,Montpellier Hérault Rugby,8e,,30,Stade Rochelais,5e,,16,30 - 16,https://top14.lnr.fr/feuille-de-match/2019-2020/j3/8992-montpellier-la-rochelle
j3,samedi 07 septembre,Section Paloise,12e,,18,SU Agen,13e,,12,18 - 12,https://top14.lnr.fr/feuille-de-match/2019-2020/j3/8993-pau-agen
j3,samedi 07 septembre,Stade Français Paris,14e,,33,Aviron Bayonnais,9e,,27,33 - 27,https://top14.lnr.fr/feuille-de-match/2019-2020/j3/8994-paris-bayonne
j3,dimanche 08 septembre,CA Brive,11e,,28,ASM Clermont,6e,,21,28 - 21,https://top14.lnr.fr/feuille-de-match/2019-2020/j3/8995-brive-clermont
j3,dimanche 08 septembre,Stade Toulousain,7e,,20,Racing 92,3e,Bd,17,20 - 17,https://top14.lnr.fr/feuille-de-match/2019-2020/j3/8996-toulouse-racing-92
j4,samedi 14 septembre,Stade Rochelais,5e,,28,Stade Toulousain,7e,,13,28 - 13,https://top14.lnr.fr/feuille-de-match/2019-2020/j4/8997-la-rochelle-toulouse
j4,samedi 14 septembre,ASM Clermont,6e,,28,Section Paloise,12e,,37,28 - 37,https://top14.lnr.fr/feuille-de-match/2019-2020/j4/8998-clermont-pau
j4,samedi 14 septembre,Aviron Bayonnais,9e,,27,Castres Olympique,10e,,17,27 - 17,https://top14.lnr.fr/feuille-de-match/2019-2020/j4/8999-bayonne-castres
j4,samedi 14 septembre,LOU Rugby,2e,Bo,59,CA Brive,11e,,3,59 - 3,https://top14.lnr.fr/feuille-de-match/2019-2020/j4/9000-lyon-brive
j4,samedi 14 septembre,Union Bordeaux-Bègles,1e,Bo,52,Stade Français Paris,14e,,3,52 - 3,https://top14.lnr.fr/feuille-de-match/2019-2020/j4/9001-bordeaux-begles-paris
j4,dimanche 15 septembre,SU Agen,13e,,29,Montpellier Hérault Rugby,8e,,10,29 - 10,https://top14.lnr.fr/feuille-de-match/2019-2020/j4/9002-agen-montpellier
j4,dimanche 15 septembre,RC Toulon,4e,,32,Racing 92,3e,Bd,29,32 - 29,https://top14.lnr.fr/feuille-de-match/2019-2020/j4/9003-toulon-racing-92
j5,samedi 28 septembre,CA Brive,11e,,39,RC Toulon,4e,,17,39 - 17,https://top14.lnr.fr/feuille-de-match/2019-2020/j5/9004-brive-toulon
j5,samedi 28 septembre,Aviron Bayonnais,9e,,23,Stade Rochelais,5e,Bd,22,23 - 22,https://top14.lnr.fr/feuille-de-match/2019-2020/j5/9005-bayonne-la-rochelle
j5,samedi 28 septembre,Castres Olympique,10e,,30,SU Agen,13e,Bd,27,30 - 27,https://top14.lnr.fr/feuille-de-match/2019-2020/j5/9006-castres-agen
j5,samedi 28 septembre,Stade Toulousain,7e,,24,Section Paloise,12e,Bd,23,24 - 23,https://top14.lnr.fr/feuille-de-match/2019-2020/j5/9007-toulouse-pau
j5,samedi 28 septembre,Racing 92,3e,,20,LOU Rugby,2e,,31,20 - 31,https://top14.lnr.fr/feuille-de-match/2019-2020/j5/9008-racing-92-lyon
j5,dimanche 29 septembre,Montpellier Hérault Rugby,8e,,17,Union Bordeaux-Bègles,1e,,17,17 - 17,https://top14.lnr.fr/feuille-de-match/2019-2020/j5/9009-montpellier-bordeaux-begles
j5,dimanche 29 septembre,Stade Français Paris,14e,,18,ASM Clermont,6e,,32,18 - 32,https://top14.lnr.fr/feuille-de-match/2019-2020/j5/9010-paris-clermont
j6,samedi 05 octobre,ASM Clermont,6e,,20,Montpellier Hérault Rugby,8e,,13,20 - 13,https://top14.lnr.fr/feuille-de-match/2019-2020/j6/9011-clermont-montpellier
j6,samedi 05 octobre,CA Brive,11e,,23,Stade Toulousain,7e,,9,23 - 9,https://top14.lnr.fr/feuille-de-match/2019-2020/j6/9012-brive-toulouse
j6,samedi 05 octobre,Castres Olympique,10e,Bo,46,Stade Français Paris,14e,,16,46 - 16,https://top14.lnr.fr/feuille-de-match/2019-2020/j6/9013-castres-paris
j6,samedi 05 octobre,SU Agen,13e,Bd,27,Aviron Bayonnais,9e,,29,27 - 29,https://top14.lnr.fr/feuille-de-match/2019-2020/j6/9014-agen-bayonne
j6,samedi 05 octobre,LOU Rugby,2e,,25,Union Bordeaux-Bègles,1e,Bd,23,25 - 23,https://top14.lnr.fr/feuille-de-match/2019-2020/j6/9015-lyon-bordeaux-begles
j6,dimanche 06 octobre,Section Paloise,12e,,3,Racing 92,3e,Bo,31,3 - 31,https://top14.lnr.fr/feuille-de-match/2019-2020/j6/9016-pau-racing-92
j6,dimanche 06 octobre,RC Toulon,4e,,23,Stade Rochelais,5e,,3,23 - 3,https://top14.lnr.fr/feuille-de-match/2019-2020/j6/9017-toulon-la-rochelle
j7,samedi 12 octobre,Aviron Bayonnais,9e,,28,Montpellier Hérault Rugby,8e,Bd,24,28 - 24,https://top14.lnr.fr/feuille-de-match/2019-2020/j7/9018-bayonne-montpellier
j7,samedi 12 octobre,Stade Toulousain,7e,Bo,36,Castres Olympique,10e,,15,36 - 15,https://top14.lnr.fr/feuille-de-match/2019-2020/j7/9019-toulouse-castres
j7,samedi 12 octobre,LOU Rugby,2e,,27,Section Paloise,12e,,8,27 - 8,https://top14.lnr.fr/feuille-de-match/2019-2020/j7/9020-lyon-pau
j7,samedi 12 octobre,Racing 92,3e,,27,SU Agen,13e,,27,27 - 27,https://top14.lnr.fr/feuille-de-match/2019-2020/j7/9021-racing-92-agen
j7,samedi 12 octobre,Stade Rochelais,5e,Bo,41,CA Brive,11e,,17,41 - 17,https://top14.lnr.fr/feuille-de-match/2019-2020/j7/9022-la-rochelle-brive
j7,dimanche 13 octobre,Stade Français Paris,14e,,33,RC Toulon,4e,Bd,30,33 - 30,https://top14.lnr.fr/feuille-de-match/2019-2020/j7/9023-paris-toulon
j7,dimanche 13 octobre,Union Bordeaux-Bègles,1e,Bo,42,ASM Clermont,6e,,15,42 - 15,https://top14.lnr.fr/feuille-de-match/2019-2020/j7/9024-bordeaux-begles-clermont
j8,samedi 19 octobre,Montpellier Hérault Rugby,8e,,33,Stade Toulousain,7e,,22,33 - 22,https://top14.lnr.fr/feuille-de-match/2019-2020/j8/9025-montpellier-toulouse
j8,samedi 19 octobre,CA Brive,11e,Bo,30,Union Bordeaux-Bègles,1e,,9,30 - 9,https://top14.lnr.fr/feuille-de-match/2019-2020/j8/9026-brive-bordeaux-begles
j8,samedi 19 octobre,RC Toulon,4e,,20,Aviron Bayonnais,9e,,9,20 - 9,https://top14.lnr.fr/feuille-de-match/2019-2020/j8/9027-toulon-bayonne
j8,samedi 19 octobre,Section Paloise,12e,,37,Castres Olympique,10e,,24,37 - 24,https://top14.lnr.fr/feuille-de-match/2019-2020/j8/9028-pau-castres
j8,samedi 19 octobre,SU Agen,13e,,27,Stade Français Paris,14e,,14,27 - 14,https://top14.lnr.fr/feuille-de-match/2019-2020/j8/9029-agen-paris
