journee,date,domicile,classement_dom,bonus_dom,score_dom,exterieur,classement_ext,bonus_ext,score_ext,score,lien_feuille_match
j8,samedi 19 octobre,Stade Rochelais,5e,,12,Racing 92,3e,,6,12 - 6,https://top14.lnr.fr/feuille-de-match/2019-2020/j8/9030-la-rochelle-racing-92
j8,dimanche 20 octobre,ASM Clermont,6e,,24,LOU Rugby,2e,,15,24 - 15,https://top14.lnr.fr/feuille-de-match/2019-2020/j8/9031-clermont-lyon
j9,samedi 09 novembre,RC Toulon,4e,,19,Montpellier Hérault Rugby,8e,,19,19 - 19,https://top14.lnr.fr/feuille-de-match/2019-2020/j9/9032-toulon-montpellier
j9,samedi 09 novembre,Aviron Bayonnais,9e,,3,Section Paloise,12e,,9,3 - 9,https://top14.lnr.fr/feuille-de-match/2019-2020/j9/9033-bayonne-pau
j9,samedi 09 novembre,Castres Olympique,10e,,28,CA Brive,11e,Bd,26,28 - 26,https://top14.lnr.fr/feuille-de-match/2019-2020/j9/9034-castres-brive
j9,samedi 09 novembre,Union Bordeaux-Bègles,1e,,23,SU Agen,13e,,0,23 - 0,https://top14.lnr.fr/feuille-de-match/2019-2020/j9/9035-bordeaux-begles-agen
j9,samedi 09 novembre,Stade Toulousain,7e,Bo,34,ASM Clermont,6e,,8,34 - 8,https://top14.lnr.fr/feuille-de-match/2019-2020/j9/9036-toulouse-clermont
j9,dimanche 10 novembre,LOU Rugby,2e,Bo,45,Stade Rochelais,5e,,17,45 - 17,https://top14.lnr.fr/feuille-de-match/2019-2020/j9/9037-lyon-la-rochelle
j9,dimanche 10 novembre,Stade Français Paris,14e,,9,Racing 92,3e,Bo,25,9 - 25,https://top14.lnr.fr/feuille-de-match/2019-2020/j9/9038-paris-racing-92
j10,samedi 30 novembre,Racing 92,3e,Bd,30,Union Bordeaux-Bègles,1e,,34,30 - 34,https://top14.lnr.fr/feuille-de-match/2019-2020/j10/9039-racing-92-bordeaux-begles
j10,samedi 30 novembre,ASM Clermont,6e,,30,SU Agen,13e,,13,30 - 13,https://top14.lnr.fr/feuille-de-match/2019-2020/j10/9040-clermont-agen
j10,samedi 30 novembre,Section Paloise,12e,,9,RC Toulon,4e,,19,9 - 19,https://top14.lnr.fr/feuille-de-match/2019-2020/j10/9041-pau-toulon
j10,samedi 30 novembre,Stade Rochelais,5e,,22,Castres Olympique,10e,,13,22 - 13,https://top14.lnr.fr/feuille-de-match/2019-2020/j10/9042-la-rochelle-castres
j10,samedi 30 novembre,Montpellier Hérault Rugby,8e,Bo,33,LOU Rugby,2e,,8,33 - 8,https://top14.lnr.fr/feuille-de-match/2019-2020/j10/9043-montpellier-lyon
j10,dimanche 01 décembre,CA Brive,11e,,26,Stade Français Paris,14e,Bd,21,26 - 21,https://top14.lnr.fr/feuille-de-match/2019-2020/j10/9044-brive-paris
j10,dimanche 01 décembre,Stade Toulousain,7e,Bo,45,Aviron Bayonnais,9e,,10,45 - 10,https://top14.lnr.fr/feuille-de-match/2019-2020/j10/9045-toulouse-bayonne
j11,samedi 21 décembre,Aviron Bayonnais,9e,,6,CA Brive,11e,,6,6 - 6,https://top14.lnr.fr/feuille-de-match/2019-2020/j11/9046-bayonne-brive
j11,samedi 21 décembre,Castres Olympique,10e,Bo,29,LOU Rugby,2e,,12,29 - 12,https://top14.lnr.fr/feuille-de-match/2019-2020/j11/9047-castres-lyon
j11,samedi 21 décembre,Racing 92,3e,,29,Montpellier Hérault Rugby,8e,Bd,25,29 - 25,https://top14.lnr.fr/feuille-de-match/2019-2020/j11/9048-racing-92-montpellier
j11,samedi 21 décembre,SU Agen,13e,Bd,8,Stade Toulousain,7e,,13,8 - 13,https://top14.lnr.fr/feuille-de-match/2019-2020/j11/9049-agen-toulouse
j11,dimanche 22 décembre,Stade Français Paris,14e,,21,Section Paloise,12e,Bd,18,21 - 18,https://top14.lnr.fr/feuille-de-match/2019-2020/j11/9050-paris-pau
j11,dimanche 22 décembre,Union Bordeaux-Bègles,1e,,20,Stade Rochelais,5e,Bd,15,20 - 15,https://top14.lnr.fr/feuille-de-match/2019-2020/j11/9051-bordeaux-begles-la-rochelle
j11,dimanche 22 décembre,RC Toulon,4e,Bo,41,ASM Clermont,6e,,19,41 - 19,https://top14.lnr.fr/feuille-de-match/2019-2020/j11/9052-toulon-clermont
j12,samedi 28 décembre,LOU Rugby,2e,Bo,52,Aviron Bayonnais,9e,,9,52 - 9,https://top14.lnr.fr/feuille-de-match/2019-2020/j12/9053-lyon-bayonne
j12,samedi 28 décembre,CA Brive,11e,,20,Racing 92,3e,Bo,44,20 - 44,https://top14.lnr.fr/feuille-de-match/2019-2020/j12/9054-brive-racing-92
j12,samedi 28 décembre,Montpellier Hérault Rugby,8e,,20,Stade Français Paris,14e,,20,20 - 20,https://top14.lnr.fr/feuille-de-match/2019-2020/j12/9055-montpellier-paris
j12,dimanche 29 décembre,Section Paloise,12e,Bd,23,Union Bordeaux-Bègles,1e,,27,23 - 27,https://top14.lnr.fr/feuille-de-match/2019-2020/j12/9056-pau-bordeaux-begles
j12,dimanche 29 décembre,Stade Rochelais,5e,Bo,40,SU Agen,13e,,8,40 - 8,https://top14.lnr.fr/feuille-de-match/2019-2020/j12/9057-la-rochelle-agen
j12,dimanche 29 décembre,ASM Clermont,6e,,39,Castres Olympique,10e,,22,39 - 22,https://top14.lnr.fr/feuille-de-match/2019-2020/j12/9058-clermont-castres
j12,dimanche 29 décembre,Stade Toulousain,7e,,13,RC Toulon,4e,,13,13 - 13,https://top14.lnr.fr/feuille-de-match/2019-2020/j12/9059-toulouse-toulon
j13,samedi 04 janvier,SU Agen,13e,Bd,12,LOU Rugby,2e,,13,12 - 13,https://top14.lnr.fr/feuille-de-match/2019-2020/j13/9060-agen-lyon
j13,samedi 04 janvier,Racing 92,3e,,27,ASM Clermont,6e,,19,27 - 19,https://top14.lnr.fr/feuille-de-match/2019-2020/j13/9061-racing-92-clermont
j13,samedi 04 janvier,Montpellier Hérault Rugby,8e,,29,CA Brive,11e,Bd,26,29 - 26,https://top14.lnr.fr/feuille-de-match/2019-2020/j13/9062-montpellier-brive
j13,samedi 04 janvier,Section Paloise,12e,,13,Stade Rochelais,5e,Bo,44,13 - 44,https://top14.lnr.fr/feuille-de-match/2019-2020/j13/9063-pau-la-rochelle
j13,samedi 04 janvier,Union Bordeaux-Bègles,1e,Bo,22,Aviron Bayonnais,9e,,3,22 - 3,https://top14.lnr.fr/feuille-de-match/2019-2020/j13/9064-bordeaux-begles-bayonne
j13,dimanche 05 janvier,RC Toulon,4e,Bo,43,Castres Olympique,10e,,3,43 - 3,https://top14.lnr.fr/feuille-de-match/2019-2020/j13/9065-toulon-castres
j13,dimanche 05 janvier,Stade Français Paris,14e,,30,Stade Toulousain,7e,,18,30 - 18,https://top14.lnr.fr/feuille-de-match/2019-2020/j13/9066-paris-toulouse
j14,samedi 25 janvier,LOU Rugby,2e,Bo,27,RC Toulon,4e,,12,27 - 12,https://top14.lnr.fr/feuille-de-match/2019-2020/j14/9067-lyon-toulon
j14,samedi 25 janvier,CA Brive,11e,,33,Section Paloise,12e,,26,33 - 26,https://top14.lnr.fr/feuille-de-match/2019-2020/j14/9068-brive-pau
j14,samedi 25 janvier,Castres Olympique,10e,,0,Racing 92,3e,Bo,27,0 - 27,https://top14.lnr.fr/feuille-de-match/2019-2020/j14/9069-castres-racing-92
j14,samedi 25 janvier,Stade Rochelais,5e,,35,Montpellier Hérault Rugby,8e,Bd,30,35 - 30,https://top14.lnr.fr/feuille-de-match/2019-2020/j14/9070-la-rochelle-montpellier
j14,samedi 25 janvier,ASM Clermont,6e,,29,Stade Français Paris,14e,,19,29 - 19,https://top14.lnr.fr/feuille-de-match/2019-2020/j14/9071-clermont-paris
j14,dimanche 26 janvier,Aviron Bayonnais,9e,Bd,22,SU Agen,13e,,23,22 - 23,https://top14.lnr.fr/feuille-de-match/2019-2020/j14/9072-bayonne-agen
j14,dimanche 26 janvier,Stade Toulousain,7e,,22,Union Bordeaux-Bègles,1e,,14,22 - 14,https://top14.lnr.fr/feuille-de-match/2019-2020/j14/9073-toulouse-bordeaux-begles
j15,samedi 15 février,Union Bordeaux-Bègles,1e,Bo,37,LOU Rugby,2e,,19,37 - 19,https://top14.lnr.fr/feuille-de-match/2019-2020/j15/9074-bordeaux-begles-lyon
j15,samedi 15 février,Montpellier Hérault Rugby,8e,,31,Aviron Bayonnais,9e,Bd,29,31 - 29,https://top14.lnr.fr/feuille-de-match/2019-2020/j15/9075-montpellier-bayonne
j15,samedi 15 février,RC Toulon,4e,,34,CA Brive,11e,,17,34 - 17,https://top14.lnr.fr/feuille-de-match/2019-2020/j15/9076-toulon-brive
j15,samedi 15 février,Section Paloise,12e,Bd,20,ASM Clermont,6e,,23,20 - 23,https://top14.lnr.fr/feuille-de-match/2019-2020/j15/9077-pau-clermont
j15,samedi 15 février,Stade Français Paris,14e,,21,Stade Rochelais,5e,Bd,20,21 - 20,https://top14.lnr.fr/feuille-de-match/2019-2020/j15/9078-paris-la-rochelle
j15,dimanche 16 février,SU Agen,13e,,24,Castres Olympique,10e,Bo,43,24 - 43,https://top14.lnr.fr/feuille-de-match/2019-2020/j15/9079-agen-castres
j15,dimanche 16 février,Racing 92,3e,,30,Stade Toulousain,7e,Bd,27,30 - 27,https://top14.lnr.fr/feuille-de-match/2019-2020/j15/9080-racing-92-toulouse
j16,samedi 22 février,Stade Rochelais,5e,,17,RC Toulon,4e,Bd,12,17 - 12,https://top14.lnr.fr/feuille-de-match/2019-2020/j16/9081-la-rochelle-toulon
j16,samedi 22 février,Aviron Bayonnais,9e,,28,Stade Français Paris,14e,,17,28 - 17,https://top14.lnr.fr/feuille-de-match/2019-2020/j16/9082-bayonne-paris
j16,samedi 22 février,CA Brive,11e,,16,SU Agen,13e,,30,16 - 30,https://top14.lnr.fr/feuille-de-match/2019-2020/j16/9083-brive-agen
j16,samedi 22 février,Castres Olympique,10e,,26,Section Paloise,12e,,16,26 - 16,https://top14.lnr.fr/feuille-de-match/2019-2020/j16/9084-castres-pau
j16,samedi 22 février,ASM Clermont,6e,,22,Union Bordeaux-Bègles,1e,Bo,31,22 - 31,https://top14.lnr.fr/feuille-de-match/2019-2020/j16/9085-clermont-bordeaux-begles
j16,dimanche 23 février,LOU Rugby,2e,,29,Racing 92,3e,,20,29 - 20,https://top14.lnr.fr/feuille-de-match/2019-2020/j16/9086-lyon-racing-92
j16,dimanche 23 février,Stade Toulousain,7e,Bo,25,Montpellier Hérault Rugby,8e,,7,25 - 7,https://top14.lnr.fr/feuille-de-match/2019-2020/j16/9087-toulouse-montpellier
j17,samedi 29 février,Racing 92,3e,Bo,49,Stade Rochelais,5e,,0,49 - 0,https://top14.lnr.fr/feuille-de-match/2019-2020/j17/9088-racing-92-la-rochelle
j17,samedi 29 février,Aviron Bayonnais,9e,,20,Stade Toulousain,7e,,10,20 - 10,https://top14.lnr.fr/feuille-de-match/2019-2020/j17/9089-bayonne-toulouse
j17,samedi 29 février,Section Paloise,12e,,19,Montpellier Hérault Rugby,8e,Bd,15,19 - 15,https://top14.lnr.fr/feuille-de-match/2019-2020/j17/9090-pau-montpellier
j17,samedi 29 février,SU Agen,13e,,15,ASM Clermont,6e,Bo,32,15 - 32,https://top14.lnr.fr/feuille-de-match/2019-2020/j17/9091-agen-clermont
j17,samedi 29 février,CA Brive,11e,,30,LOU Rugby,2e,,16,30 - 16,https://top14.lnr.fr/feuille-de-match/2019-2020/j17/9092-brive-lyon
j17,dimanche 01 mars,Union Bordeaux-Bègles,1e,,26,Castres Olympique,10e,Bd,24,26 - 24,https://top14.lnr.fr/feuille-de-match/2019-2020/j17/9093-bordeaux-begles-castres
j17,dimanche 01 mars,RC Toulon,4e,,19,Stade Français Paris,14e,Bd,18,19 - 18,https://top14.lnr.fr/feuille-de-match/2019-2020/j17/9094-toulon-paris
