equipe,saison,matchs_joues,victoires,defaites,nuls,taux_victoire_pct,bonus_offensif,bonus_defensif,moy_score_equipe,moy_score_adversaire,moy_essais_accordes,moy_melees_obtenues,moy_melees_perdues,moy_melees_gagnees,moy_melees_refaites,moy_touches_obtenues,moy_touches_propre_lancer,moy_touches_lancer_adv,moy_en_avant_commis,moy_penalites_reussies,moy_penalites_concedees,moy_plaquages_reussis,moy_plaquages_offensifs,moy_plaquages_manques,moy_ballons_pied,moy_ballons_passes,moy_carton_jaune,moy_carton_orange,moy_carton_rouge,moy_possession_balle,moy_occupation,moy_possession_prop_camp,moy_possession_camp_adv,moy_possession_22m_adv
Union Bordeaux-Bègles,2018-2019,26,12,13,1,46.2,3,3,23.77,27.35,2.46,8.27,0.42,5.77,2.08,12.08,8.81,1.15,7.0,2.31,9.73,178.12,18.35,23.04,18.0,121.31,0.73,0.0,0.12,50.0,49.3,42.5,51.4,48.5
ASM Clermont,2019-2020,17,10,7,0,58.8,1,0,24.88,24.41,2.24,9.12,0.88,5.94,2.29,13.59,11.0,0.88,8.76,3.29,9.24,121.12,12.18,16.29,17.76,132.0,0.88,0.0,0.06,50.0,47.5,48.1,52.6,47.5
Aviron Bayonnais,2019-2020,17,7,9,1,41.2,0,3,19.24,24.06,1.53,7.59,0.71,5.06,1.82,12.82,9.88,0.47,7.71,2.94,9.24,145.12,7.47,17.35,20.0,115.35,0.47,0.0,0.18,50.0,46.8,42.8,53.8,47.1
CA Brive,2019-2020,17,7,9,1,41.2,1,2,21.41,25.82,1.88,8.41,0.88,5.29,2.24,12.0,7.71,1.06,8.29,2.82,9.65,156.94,12.71,22.76,18.0,113.29,0.41,0.0,0.12,50.0,43.8,41.1,56.4,44.0
Castres Olympique,2019-2020,17,7,10,0,41.2,3,2,23.06,27.06,2.18,7.76,1.24,4.47,2.06,11.47,8.18,0.94,7.18,2.71,11.76,147.65,13.59,20.59,19.65,115.06,0.94,0.0,0.18,50.0,49.6,45.4,50.2,49.8
LOU Rugby,2019-2020,17,12,5,0,70.6,5,0,27.24,17.88,2.94,7.47,0.65,5.0,1.82,13.88,10.0,0.94,8.41,2.59,10.59,135.12,12.18,16.0,21.76,135.88,0.82,0.0,0.18,50.0,54.1,53.5,45.8,53.6
Montpellier Hérault Rugby,2019-2020,17,6,8,3,35.3,2,5,23.76,22.94,2.47,8.82,0.82,5.18,2.82,11.47,8.94,0.65,8.06,2.47,10.59,136.0,13.35,15.65,17.53,128.53,0.53,0.0,0.12,50.0,48.8,54.8,51.5,48.6
RC Toulon,2019-2020,17,9,6,2,52.9,3,2,23.29,19.65,1.94,9.47,0.41,6.65,2.41,14.12,10.06,0.94,8.71,2.88,8.82,141.47,16.88,19.0,18.47,120.0,0.71,0.0,0.12,50.0,50.6,49.8,49.8,51.0
Racing 92,2019-2020,17,9,7,1,52.9,5,3,26.53,19.18,3.0,8.0,0.71,5.94,1.35,12.71,10.12,1.82,7.47,2.35,9.06,148.06,16.12,17.76,22.88,140.71,0.65,0.0,0.0,50.0,55.1,59.8,44.7,55.1
SU Agen,2019-2020,17,5,11,1,29.4,0,4,19.0,24.35,2.06,10.53,1.71,6.35,2.47,11.47,9.12,1.88,7.94,1.76,9.71,160.71,14.18,20.47,20.82,128.29,0.71,0.0,0.0,50.0,48.0,46.2,51.6,48.4
Section Paloise,2019-2020,17,6,11,0,35.3,0,4,19.65,24.35,1.76,9.41,0.88,5.88,2.65,13.06,8.47,0.59,7.41,2.53,9.47,151.82,12.65,19.06,18.12,129.94,0.71,0.0,0.12,50.0,50.4,49.5,49.4,50.1
Stade Français Paris,2019-2020,17,5,11,1,29.4,0,3,19.29,28.71,1.71,8.35,0.76,5.24,2.35,11.88,8.94,1.29,6.76,2.53,10.88,149.94,18.76,17.06,17.88,122.0,0.88,0.0,0.0,50.0,52.4,50.5,47.4,52.2
Stade Rochelais,2019-2020,17,9,8,0,52.9,3,3,21.76,22.18,2.18,9.65,0.76,6.59,2.29,12.88,8.82,0.65,8.0,2.35,10.76,124.82,14.71,15.24,18.41,145.06,0.53,0.0,0.12,50.0,50.6,46.0,49.0,49.9
Stade Toulousain,2019-2020,17,8,8,1,47.1,4,2,21.65,19.47,2.0,10.76,1.06,7.35,2.35,13.71,10.18,0.59,7.76,2.47,10.41,129.53,14.18,17.35,21.18,126.24,0.76,0.0,0.06,50.0,51.6,56.2,48.4,52.2
Union Bordeaux-Bègles,2019-2020,17,13,3,1,76.5,6,1,27.94,18.65,3.0,10.29,0.82,6.82,2.65,11.41,7.94,1.76,8.0,2.24,10.06,142.41,15.18,16.76,21.0,139.18,0.71,0.0,0.06,50.0,50.7,56.2,49.5,50.6
