journee,date,domicile,classement_dom,bonus_dom,score_dom,exterieur,classement_ext,bonus_ext,score_ext,score,lien_feuille_match
j16,samedi 27 janvier,Castres Olympique,6e,Bd,13,Racing 92,2e,,18,13 - 18,https://top14.lnr.fr/feuille-de-match/2017-2018/j16/8215-castres-racing-92
j16,dimanche 28 janvier,Stade Français Paris,12e,,5,Section Paloise,8e,Bo,40,5 - 40,https://top14.lnr.fr/feuille-de-match/2017-2018/j16/8216-paris-pau
j16,dimanche 28 janvier,ASM Clermont,9e,Bd,29,Montpellier Hérault Rugby,1e,,30,29 - 30,https://top14.lnr.fr/feuille-de-match/2017-2018/j16/8217-clermont-montpellier
j17,samedi 17 février,RC Toulon,4e,Bo,43,Stade Français Paris,12e,,5,43 - 5,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8218-toulon-paris
j17,samedi 17 février,CA Brive,14e,Bd,16,Section Paloise,8e,,21,16 - 21,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8219-brive-pau
j17,samedi 17 février,Oyonnax Rugby,13e,,30,Montpellier Hérault Rugby,1e,Bo,43,30 - 43,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8220-oyonnax-montpellier
j17,samedi 17 février,SU Agen,11e,,25,Stade Toulousain,3e,Bo,52,25 - 52,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8221-agen-toulouse
j17,samedi 17 février,LOU Rugby,5e,Bo,36,ASM Clermont,9e,,10,36 - 10,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8222-lyon-clermont
j17,dimanche 18 février,Union Bordeaux-Bègles,10e,Bd,6,Castres Olympique,6e,,7,6 - 7,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8223-bordeaux-begles-castres
j17,dimanche 18 février,Racing 92,2e,,19,Stade Rochelais,7e,,12,19 - 12,https://top14.lnr.fr/feuille-de-match/2017-2018/j17/8224-racing-92-la-rochelle
j18,samedi 24 février,Montpellier Hérault Rugby,1e,,11,Union Bordeaux-Bègles,10e,Bd,10,11 - 10,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8225-montpellier-bordeaux-begles
j18,samedi 24 février,ASM Clermont,9e,,12,Oyonnax Rugby,13e,,18,12 - 18,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8226-clermont-oyonnax
j18,samedi 24 février,Castres Olympique,6e,,33,LOU Rugby,5e,,22,33 - 22,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8227-castres-lyon
j18,samedi 24 février,Stade Français Paris,12e,Bd,34,SU Agen,11e,,36,34 - 36,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8228-paris-agen
j18,samedi 24 février,Section Paloise,8e,,24,Racing 92,2e,,15,24 - 15,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8229-pau-racing-92
j18,dimanche 25 février,Stade Toulousain,3e,Bo,45,CA Brive,14e,,28,45 - 28,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8230-toulouse-brive
j18,dimanche 25 février,Stade Rochelais,7e,,20,RC Toulon,4e,,27,20 - 27,https://top14.lnr.fr/feuille-de-match/2017-2018/j18/8231-la-rochelle-toulon
j19,samedi 03 mars,LOU Rugby,5e,,15,RC Toulon,4e,,6,15 - 6,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8232-lyon-toulon
j19,samedi 03 mars,Castres Olympique,6e,Bd,27,Section Paloise,8e,,29,27 - 29,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8233-castres-pau
j19,samedi 03 mars,Racing 92,2e,,17,CA Brive,14e,Bd,13,17 - 13,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8234-racing-92-brive
j19,samedi 03 mars,SU Agen,11e,,31,Montpellier Hérault Rugby,1e,Bd,29,31 - 29,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8235-agen-montpellier
j19,samedi 03 mars,Union Bordeaux-Bègles,10e,,19,Stade Toulousain,3e,,25,19 - 25,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8236-bordeaux-begles-toulouse
j19,dimanche 04 mars,Oyonnax Rugby,13e,,33,Stade Français Paris,12e,,27,33 - 27,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8237-oyonnax-paris
j19,dimanche 04 mars,ASM Clermont,9e,,21,Stade Rochelais,7e,Bd,17,21 - 17,https://top14.lnr.fr/feuille-de-match/2017-2018/j19/8238-clermont-la-rochelle
j20,samedi 10 mars,Montpellier Hérault Rugby,1e,Bo,41,Racing 92,2e,,3,41 - 3,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8239-montpellier-racing-92
j20,samedi 10 mars,RC Toulon,4e,Bo,54,SU Agen,11e,,5,54 - 5,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8240-toulon-agen
j20,samedi 10 mars,Section Paloise,8e,,18,Stade Rochelais,7e,Bd,15,18 - 15,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8241-pau-la-rochelle
j20,samedi 10 mars,Union Bordeaux-Bègles,10e,,20,Oyonnax Rugby,13e,,26,20 - 26,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8242-bordeaux-begles-oyonnax
